customer_id,signup_date,segment,acquisition_channel,initial_plan,initial_mrr,churn_date,upgraded_plan,final_mrr,cac
1,2023-07-01,SMB,Outbound Sales,Scale,299,2024-05-01,,0,1100.66
2,2024-09-01,Mid-Market,Paid Search,Growth,99,,,99,479.53
3,2024-03-01,Mid-Market,Paid Search,Growth,99,,Scale,299,497.51
4,2024-08-01,Mid-Market,Referral,Starter,29,,,29,80.51
5,2024-10-01,SMB,Partner,Growth,99,,,99,348.24
6,2024-04-01,Mid-Market,Organic,Starter,29,,,29,69.75
7,2023-07-01,SMB,Paid Search,Starter,29,,,29,441.23
8,2023-03-01,Mid-Market,Outbound Sales,Growth,99,,,99,1353.77
9,2023-11-01,SMB,Organic,Starter,29,2024-02-01,,0,66.59
10,2024-01-01,SMB,Organic,Scale,299,,,299,60.43
11,2024-05-01,Enterprise,Paid Search,Starter,29,,,29,461.04
12,2024-11-01,Mid-Market,Paid Search,Growth,99,,,99,351.59
13,2023-06-01,Mid-Market,Outbound Sales,Starter,29,,,29,1234.0
14,2024-04-01,Mid-Market,Organic,Scale,299,,,299,57.46
15,2023-01-01,SMB,Paid Search,Growth,99,2023-03-01,,0,370.45
16,2023-03-01,SMB,Organic,Enterprise,799,2023-07-01,,0,53.53
17,2024-02-01,Mid-Market,Referral,Starter,29,,,29,99.42
18,2023-01-01,SMB,Paid Search,Growth,99,2023-03-01,,0,365.16
19,2024-05-01,Enterprise,Organic,Starter,29,,Growth,99,50.69
20,2024-09-01,SMB,Organic,Starter,29,,Growth,99,54.73
21,2024-06-01,Enterprise,Paid Search,Growth,99,,,99,362.89
22,2023-03-01,Mid-Market,Paid Search,Starter,29,2023-10-01,,0,370.12
23,2023-02-01,Mid-Market,Paid Search,Starter,29,2023-06-01,,0,467.54
24,2024-08-01,SMB,Organic,Starter,29,,,29,58.59
25,2024-08-01,Mid-Market,Paid Search,Starter,29,,,29,408.93
26,2024-11-01,SMB,Paid Search,Starter,29,,Growth,99,424.18
27,2023-01-01,SMB,Paid Search,Starter,29,2023-08-01,,0,350.97
28,2024-04-01,SMB,Organic,Starter,29,2024-09-01,,0,71.69
29,2024-04-01,SMB,Organic,Scale,299,2024-09-01,,0,68.33
30,2024-07-01,Mid-Market,Referral,Growth,99,,,99,82.54
31,2024-06-01,SMB,Outbound Sales,Growth,99,,,99,1110.64
32,2024-07-01,SMB,Referral,Growth,99,,,99,94.22
33,2023-11-01,Mid-Market,Outbound Sales,Scale,299,,Enterprise,799,1399.74
34,2024-05-01,SMB,Organic,Growth,99,,,99,55.44
35,2024-03-01,SMB,Referral,Starter,29,2024-11-01,,0,84.26
36,2023-03-01,SMB,Paid Search,Scale,299,,,299,424.33
37,2024-07-01,SMB,Paid Search,Starter,29,2024-08-01,,0,483.7
38,2023-08-01,Mid-Market,Referral,Starter,29,2024-03-01,,0,75.93
39,2024-01-01,Enterprise,Organic,Starter,29,,,29,60.24
40,2024-04-01,SMB,Referral,Scale,299,,,299,87.73
41,2023-01-01,Mid-Market,Paid Search,Starter,29,2024-11-01,,0,414.35
42,2024-11-01,Mid-Market,Partner,Scale,299,,,299,349.17
43,2023-05-01,SMB,Paid Search,Growth,99,2024-01-01,,0,427.45
44,2023-02-01,Mid-Market,Organic,Growth,99,,,99,64.68
45,2023-04-01,Mid-Market,Outbound Sales,Growth,99,,,99,1572.84
46,2023-10-01,SMB,Paid Search,Starter,29,2024-03-01,,0,386.8
47,2024-03-01,SMB,Outbound Sales,Growth,99,,,99,1273.7
48,2023-02-01,SMB,Paid Search,Growth,99,2023-12-01,,0,374.06
49,2024-05-01,SMB,Paid Search,Starter,29,,,29,445.51
50,2024-05-01,SMB,Organic,Growth,99,2024-11-01,,0,54.09
51,2024-09-01,SMB,Paid Search,Starter,29,,Growth,99,375.43
52,2024-07-01,Mid-Market,Partner,Starter,29,2024-10-01,,0,358.41
53,2024-10-01,SMB,Referral,Starter,29,,,29,97.1
54,2023-12-01,Enterprise,Referral,Starter,29,,,29,101.32
55,2023-02-01,Mid-Market,Paid Search,Starter,29,,,29,498.76
56,2023-04-01,Mid-Market,Referral,Starter,29,,,29,106.96
57,2023-06-01,Mid-Market,Outbound Sales,Growth,99,2024-09-01,,0,1259.88
58,2024-07-01,SMB,Paid Search,Growth,99,,,99,423.15
59,2023-12-01,SMB,Paid Search,Scale,299,2024-06-01,,0,491.13
60,2023-10-01,SMB,Paid Search,Scale,299,,,299,340.31
61,2024-09-01,SMB,Organic,Growth,99,,,99,69.99
62,2023-11-01,Enterprise,Paid Search,Starter,29,,,29,480.14
63,2023-07-01,SMB,Referral,Growth,99,2023-11-01,,0,88.85
64,2024-04-01,SMB,Outbound Sales,Growth,99,,,99,1359.14
65,2023-10-01,SMB,Outbound Sales,Scale,299,,,299,1105.74
66,2024-02-01,SMB,Referral,Scale,299,2024-05-01,,0,92.01
67,2023-07-01,Mid-Market,Paid Search,Growth,99,,,99,356.68
68,2024-02-01,SMB,Organic,Growth,99,,,99,54.33
69,2024-09-01,SMB,Paid Search,Scale,299,,Enterprise,799,471.08
70,2023-06-01,SMB,Referral,Growth,99,,,99,90.17
71,2024-10-01,SMB,Paid Search,Growth,99,,,99,462.32
72,2024-01-01,Mid-Market,Organic,Starter,29,2024-09-01,,0,70.36
73,2024-07-01,Mid-Market,Organic,Starter,29,,,29,52.11
74,2024-07-01,Mid-Market,Referral,Growth,99,,,99,81.34
75,2024-03-01,Mid-Market,Partner,Starter,29,,Growth,99,310.44
76,2023-03-01,Mid-Market,Paid Search,Starter,29,2024-07-01,,0,495.53
77,2023-10-01,SMB,Paid Search,Enterprise,799,2024-01-01,,0,466.92
78,2024-05-01,SMB,Referral,Starter,29,,,29,95.02
79,2024-06-01,SMB,Paid Search,Starter,29,,,29,450.1
80,2023-11-01,Enterprise,Outbound Sales,Growth,99,,,99,1313.62
81,2023-05-01,Enterprise,Outbound Sales,Starter,29,,,29,1298.01
82,2023-08-01,Mid-Market,Paid Search,Enterprise,799,2023-09-01,,0,501.79
83,2023-05-01,SMB,Partner,Starter,29,,Growth,99,342.77
84,2023-06-01,Enterprise,Partner,Starter,29,2023-08-01,,0,331.31
85,2023-11-01,Enterprise,Paid Search,Starter,29,2024-08-01,,0,456.91
86,2024-01-01,SMB,Outbound Sales,Scale,299,,,299,1386.24
87,2023-01-01,SMB,Outbound Sales,Starter,29,2023-12-01,,0,1257.71
88,2023-02-01,Enterprise,Organic,Starter,29,,,29,58.39
89,2023-12-01,SMB,Organic,Growth,99,2024-06-01,,0,49.41
90,2023-12-01,Enterprise,Referral,Starter,29,,,29,75.22
91,2023-08-01,Mid-Market,Organic,Growth,99,2024-07-01,,0,57.23
92,2024-10-01,Mid-Market,Referral,Growth,99,,Scale,299,76.17
93,2024-01-01,Mid-Market,Organic,Starter,29,,,29,57.55
94,2023-09-01,Enterprise,Referral,Growth,99,,,99,79.68
95,2024-11-01,Mid-Market,Outbound Sales,Growth,99,,,99,1269.02
96,2023-06-01,SMB,Partner,Growth,99,2023-11-01,,0,285.51
97,2023-01-01,SMB,Partner,Scale,299,2023-10-01,,0,335.32
98,2023-02-01,Enterprise,Partner,Growth,99,,,99,322.28
99,2023-02-01,SMB,Referral,Scale,299,,,299,101.34
100,2024-08-01,SMB,Organic,Starter,29,2024-09-01,,0,56.76
101,2024-11-01,SMB,Paid Search,Starter,29,,,29,474.74
102,2024-08-01,Enterprise,Paid Search,Enterprise,799,,,799,495.54
103,2023-12-01,SMB,Paid Search,Growth,99,,Scale,299,382.61
104,2024-06-01,Mid-Market,Referral,Growth,99,,,99,97.87
105,2023-02-01,SMB,Partner,Enterprise,799,2024-06-01,,0,246.91
106,2024-03-01,Mid-Market,Referral,Growth,99,2024-08-01,,0,90.76
107,2023-11-01,Mid-Market,Referral,Growth,99,,,99,77.63
108,2023-11-01,SMB,Paid Search,Starter,29,,,29,475.94
109,2023-04-01,SMB,Partner,Growth,99,2024-08-01,,0,289.71
110,2024-10-01,Enterprise,Paid Search,Scale,299,,,299,437.52
111,2023-08-01,Mid-Market,Paid Search,Growth,99,,,99,433.81
112,2023-09-01,Mid-Market,Organic,Starter,29,,,29,50.5
113,2023-08-01,SMB,Referral,Starter,29,2024-07-01,,0,75.61
114,2023-12-01,Mid-Market,Referral,Growth,99,,,99,92.57
115,2024-04-01,SMB,Partner,Starter,29,,,29,277.8
116,2023-12-01,Mid-Market,Paid Search,Scale,299,,,299,354.72
117,2023-05-01,SMB,Organic,Starter,29,2024-02-01,,0,55.44
118,2023-02-01,Enterprise,Referral,Starter,29,,,29,78.86
119,2023-11-01,Mid-Market,Paid Search,Growth,99,,Scale,299,342.66
120,2023-04-01,SMB,Paid Search,Growth,99,,,99,399.81
121,2024-01-01,SMB,Partner,Starter,29,,,29,321.69
122,2023-09-01,Mid-Market,Organic,Growth,99,,,99,50.72
123,2024-11-01,SMB,Referral,Growth,99,,Scale,299,93.06
124,2024-11-01,SMB,Paid Search,Growth,99,,,99,361.48
125,2024-02-01,Enterprise,Partner,Enterprise,799,,,799,248.21
126,2023-09-01,SMB,Paid Search,Starter,29,2024-01-01,,0,351.49
127,2024-06-01,SMB,Organic,Starter,29,2024-12-01,,0,53.04
128,2024-05-01,SMB,Organic,Scale,299,,,299,59.17
129,2023-03-01,SMB,Outbound Sales,Growth,99,,,99,1320.03
130,2023-01-01,SMB,Referral,Growth,99,2023-07-01,,0,89.15
131,2023-01-01,Enterprise,Paid Search,Growth,99,2024-03-01,,0,399.15
132,2023-02-01,Mid-Market,Outbound Sales,Growth,99,2023-12-01,,0,1555.3
133,2023-07-01,Mid-Market,Organic,Starter,29,,,29,69.23
134,2023-06-01,Mid-Market,Organic,Starter,29,,,29,63.79
135,2024-08-01,SMB,Paid Search,Starter,29,,,29,390.44
136,2023-10-01,SMB,Organic,Scale,299,2024-08-01,,0,52.44
137,2023-09-01,Mid-Market,Paid Search,Starter,29,,Growth,99,453.22
138,2024-08-01,Mid-Market,Organic,Growth,99,,,99,71.92
139,2024-03-01,SMB,Outbound Sales,Scale,299,,,299,1522.44
140,2023-09-01,Mid-Market,Organic,Starter,29,,Growth,99,55.87
141,2024-04-01,Mid-Market,Organic,Starter,29,,,29,52.6
142,2024-02-01,SMB,Paid Search,Growth,99,,,99,473.36
143,2023-03-01,Mid-Market,Outbound Sales,Starter,29,,,29,1297.21
144,2023-08-01,Mid-Market,Paid Search,Scale,299,2024-11-01,,0,434.27
145,2023-03-01,Mid-Market,Outbound Sales,Growth,99,,,99,1102.95
146,2023-11-01,Mid-Market,Organic,Growth,99,,,99,67.35
147,2023-04-01,SMB,Organic,Scale,299,2024-03-01,,0,52.85
148,2023-02-01,SMB,Outbound Sales,Starter,29,2023-07-01,,0,1492.3
149,2024-02-01,SMB,Outbound Sales,Scale,299,2024-06-01,,0,1436.57
150,2023-07-01,Mid-Market,Referral,Growth,99,,,99,86.85
151,2024-10-01,SMB,Paid Search,Scale,299,2024-12-01,,0,425.63
152,2023-03-01,Mid-Market,Referral,Starter,29,2024-01-01,,0,91.35
153,2024-11-01,SMB,Organic,Starter,29,,,29,53.41
154,2024-10-01,Mid-Market,Referral,Growth,99,,Scale,299,76.65
155,2024-10-01,Enterprise,Paid Search,Scale,299,,,299,472.09
156,2023-06-01,SMB,Organic,Starter,29,2023-07-01,,0,64.56
157,2023-08-01,SMB,Organic,Starter,29,2024-04-01,,0,62.91
158,2023-08-01,SMB,Organic,Starter,29,,,29,54.68
159,2023-12-01,Enterprise,Referral,Growth,99,2024-07-01,,0,86.48
160,2024-01-01,SMB,Outbound Sales,Scale,299,,,299,1159.52
161,2023-10-01,Mid-Market,Paid Search,Starter,29,2024-08-01,,0,462.74
162,2023-12-01,SMB,Referral,Starter,29,,,29,72.54
163,2023-02-01,SMB,Referral,Starter,29,2023-05-01,,0,72.1
164,2024-10-01,Mid-Market,Organic,Growth,99,,,99,60.5
165,2023-01-01,SMB,Organic,Enterprise,799,2023-02-01,,0,56.26
166,2024-03-01,SMB,Organic,Starter,29,2024-12-01,,0,51.45
167,2023-03-01,SMB,Paid Search,Enterprise,799,2023-06-01,,0,457.47
168,2024-03-01,SMB,Outbound Sales,Growth,99,2024-12-01,,0,1583.32
169,2024-04-01,Enterprise,Organic,Scale,299,,,299,54.74
170,2024-09-01,Mid-Market,Organic,Enterprise,799,,,799,62.46
171,2024-07-01,Mid-Market,Organic,Scale,299,,,299,65.88
172,2024-10-01,Enterprise,Partner,Starter,29,,Growth,99,313.9
173,2023-11-01,SMB,Referral,Growth,99,2023-12-01,,0,85.79
174,2023-06-01,SMB,Partner,Starter,29,,Growth,99,306.67
175,2024-08-01,Mid-Market,Paid Search,Starter,29,2024-11-01,,0,457.73
176,2024-03-01,Enterprise,Paid Search,Growth,99,,,99,494.46
177,2024-03-01,SMB,Partner,Enterprise,799,2024-04-01,,0,332.68
178,2023-03-01,Mid-Market,Referral,Growth,99,,,99,83.34
179,2023-10-01,SMB,Paid Search,Starter,29,2024-06-01,,0,448.87
180,2023-07-01,SMB,Referral,Growth,99,,Scale,299,104.98
181,2024-11-01,SMB,Paid Search,Growth,99,,,99,423.19
182,2023-09-01,SMB,Paid Search,Growth,99,2024-03-01,,0,352.06
183,2023-05-01,SMB,Partner,Enterprise,799,,,799,316.94
184,2023-12-01,Mid-Market,Partner,Starter,29,2024-12-01,,0,312.6
185,2023-07-01,SMB,Outbound Sales,Growth,99,,,99,1152.59
186,2023-03-01,Mid-Market,Outbound Sales,Growth,99,,,99,1209.36
187,2024-10-01,Mid-Market,Outbound Sales,Starter,29,2024-12-01,,0,1442.84
188,2024-09-01,Mid-Market,Paid Search,Starter,29,,,29,499.57
189,2023-04-01,SMB,Outbound Sales,Scale,299,,,299,1173.84
190,2023-10-01,Mid-Market,Organic,Scale,299,,,299,62.74
191,2023-09-01,SMB,Partner,Starter,29,2024-07-01,,0,296.86
192,2023-06-01,SMB,Paid Search,Starter,29,,,29,393.07
193,2023-02-01,SMB,Partner,Growth,99,,,99,349.7
194,2023-03-01,SMB,Partner,Scale,299,2023-11-01,,0,352.47
195,2023-03-01,Mid-Market,Organic,Enterprise,799,,,799,51.92
196,2023-07-01,Enterprise,Outbound Sales,Scale,299,,,299,1461.41
197,2023-10-01,SMB,Organic,Scale,299,2024-10-01,,0,66.58
198,2024-08-01,SMB,Referral,Starter,29,,,29,105.24
199,2024-06-01,Mid-Market,Paid Search,Scale,299,,,299,348.29
200,2023-08-01,SMB,Organic,Growth,99,2024-01-01,,0,70.37
201,2024-05-01,SMB,Referral,Growth,99,,,99,80.87
202,2023-06-01,Mid-Market,Referral,Scale,299,,,299,102.9
203,2023-08-01,Mid-Market,Outbound Sales,Scale,299,,,299,1527.23
204,2023-02-01,Mid-Market,Outbound Sales,Scale,299,2023-07-01,,0,1508.55
205,2024-04-01,SMB,Paid Search,Starter,29,,Growth,99,385.35
206,2023-09-01,SMB,Paid Search,Growth,99,,,99,463.63
207,2023-05-01,Mid-Market,Paid Search,Enterprise,799,,,799,379.99
208,2024-10-01,SMB,Referral,Enterprise,799,,,799,83.15
209,2023-02-01,Enterprise,Paid Search,Scale,299,2024-10-01,,0,473.28
210,2024-10-01,Enterprise,Paid Search,Starter,29,,,29,434.17
211,2024-07-01,Mid-Market,Referral,Growth,99,,Scale,299,82.85
